NEType,NEFdn,NEName,Bios Ver,Bios Ver Ex,Board Name,Board Type,CLEICode,Date Of Last Service,Date Of Manufacture,Subrack No.,Inventory Unit ID,Inventory Unit Type,Issue Number,BOM Code,LAN Ver,Logic Ver,MBUS Ver,Manufacturer Data,Model,Module No.,Port No.,Cabinet No.,Serial Number,Slot No.,Slot Pos,Software Version,Subslot No.,Unit Position,User Label,Vendor Name,Vendor Unit Family Type,Vendor Unit Type Number,Hardware Version
BSC6910UMTS,NE=354,STG03,138,225,EGPUa,WP11EGPUa, , ,2016-10-12,1,4,Hardware,00,03054296, ,(U4)003(U1012)003(U30)004(U31)003, ,PARC WP11EGPUa Evolved General Processing Unit REV:a, ,-1,-1,0,210305429610GA001011,4,0,V100R023C10SPC500,-1,"CabinetNo=0,SubrackNo=1,SlotNo=4,SlotPos=0,SubSlotNo=-1,PortNo=-1", ,Huawei,Board,0, 
BSC6910UMTS,NE=354,STG03,138,225,EGPUa,WP11EGPUa, , ,2015-12-09,0,5,Hardware,00,03054296, ,(U4)003(U1012)003(U30)004(U31)003, ,PARC WP11EGPUa Evolved General Processing Unit REV:a, ,-1,-1,0,210305429610FC000169,5,0,V100R023C10SPC500,-1,"CabinetNo=0,SubrackNo=0,SlotNo=5,SlotPos=0,SubSlotNo=-1,PortNo=-1", ,Huawei,Board,0, 
BSC6910UMTS,NE=354,STG03,138,225,EGPUa,WP11EGPUa, , ,2015-12-09,0,6,Hardware,00,03054296, ,(U4)003(U1012)003(U30)004(U31)003, ,PARC WP11EGPUa Evolved General Processing Unit REV:a, ,-1,-1,0,210305429610FC000172,6,0,V100R023C10SPC500,-1,"CabinetNo=0,SubrackNo=0,SlotNo=6,SlotPos=0,SubSlotNo=-1,PortNo=-1", ,Huawei,Board,0, 
BSC6910UMTS,NE=354,STG03,138,225,EGPUa,WP11EGPUa, , ,2015-12-09,0,7,Hardware,00,03054296, ,(U4)003(U1012)003(U30)004(U31)003, ,PARC WP11EGPUa Evolved General Processing Unit REV:a, ,-1,-1,0,210305429610FC000171,7,0,V100R023C10SPC500,-1,"CabinetNo=0,SubrackNo=0,SlotNo=7,SlotPos=0,SubSlotNo=-1,PortNo=-1", ,Huawei,Board,0, 
BSC6910UMTS,NE=354,STG03,138,225,EGPUa,WP11EGPUa, , ,2015-12-09,0,8,Hardware,00,03054296, ,(U4)003(U1012)003(U30)003(U31)003, ,PARC WP11EGPUa Evolved General Processing Unit REV:a, ,-1,-1,0,210305429610FC000174,8,0,V100R023C10SPC500,-1,"CabinetNo=0,SubrackNo=0,SlotNo=8,SlotPos=0,SubSlotNo=-1,PortNo=-1", ,Huawei,Board,0, 
BSC6910UMTS,NE=354,STG03,138,225,EGPUa,WP11EGPUa, , ,2015-12-09,0,9,Hardware,00,03054296, ,(U4)003(U1012)003(U30)003(U31)003, ,PARC WP11EGPUa Evolved General Processing Unit REV:a, ,-1,-1,0,210305429610FC000173,9,0,V100R023C10SPC500,-1,"CabinetNo=0,SubrackNo=0,SlotNo=9,SlotPos=0,SubSlotNo=-1,PortNo=-1", ,Huawei,Board,0, 
BSC6910UMTS,NE=354,STG03,142,207,GCUb,WP11GCUb, , ,2015-12-09,0,14,Hardware,00,03054333, ,(U1)001(U82)001, ,PARC WP11GCUb General Clock Unit REV:b, ,-1,-1,0,210305433310FC000042,14,1,V100R023C10SPC500,-1,"CabinetNo=0,SubrackNo=0,SlotNo=14,SlotPos=1,SubSlotNo=-1,PortNo=-1", ,Huawei,Board,0, 
BSC6910UMTS,NE=354,STG03,142,207,GCUb,WP11GCUb, , ,2015-12-09,0,15,Hardware,00,03054333, ,(U1)001(U82)001, ,PARC WP11GCUb General Clock Unit REV:b, ,-1,-1,0,210305433310FC000041,15,1,V100R023C10SPC500,-1,"CabinetNo=0,SubrackNo=0,SlotNo=15,SlotPos=1,SubSlotNo=-1,PortNo=-1", ,Huawei,Board,0, 
BSC6910UMTS,NE=354,STG03,121,196,SCUb,WP11SCUb, , ,2015-12-09,0,20,Hardware,00,03053067, ,(U2)003(U5)004, ,PARC WP11SCUb GE Switching and Control Unit REV:b, ,-1,-1,0,210305306710FC000114,20,1,V100R023C10SPC500,-1,"CabinetNo=0,SubrackNo=0,SlotNo=20,SlotPos=1,SubSlotNo=-1,PortNo=-1", ,Huawei,Board,0, 
BSC6910UMTS,NE=354,STG03,121,196,SCUb,WP11SCUb, , ,2015-12-09,0,21,Hardware,00,03053067, ,(U2)003(U5)004, ,PARC WP11SCUb GE Switching and Control Unit REV:b, ,-1,-1,0,210305306710FC000115,21,1,V100R023C10SPC500,-1,"CabinetNo=0,SubrackNo=0,SlotNo=21,SlotPos=1,SubSlotNo=-1,PortNo=-1", ,Huawei,Board,0, 
BSC6910UMTS,NE=354,STG03,138,225,EXOUa,WP11EXOUa, , ,2015-12-09,0,22,Hardware,00,03054298, ,(U4)003(U1012)003(U30)003(U31)004, ,PARC  WP11EXOUa Evolved 2-port 10GE Optical interface Unit REV:a, ,-1,-1,0,210305429810FC000053,22,1,V100R023C10SPC500,-1,"CabinetNo=0,SubrackNo=0,SlotNo=22,SlotPos=1,SubSlotNo=-1,PortNo=-1", ,Huawei,Board,0, 
BSC6910UMTS,NE=354,STG03,138,225,EXOUa,WP11EXOUa, , ,2015-12-09,0,23,Hardware,00,03054298, ,(U4)003(U1012)003(U30)003(U31)004, ,PARC  WP11EXOUa Evolved 2-port 10GE Optical interface Unit REV:a, ,-1,-1,0,210305429810FC000056,23,1,V100R023C10SPC500,-1,"CabinetNo=0,SubrackNo=0,SlotNo=23,SlotPos=1,SubSlotNo=-1,PortNo=-1", ,Huawei,Board,0, 
BSC6910UMTS,NE=354,STG03,138,225,EXOUa,WP11EXOUa, , ,2015-12-09,0,24,Hardware,00,03054298, ,(U4)003(U1012)003(U30)003(U31)004, ,PARC  WP11EXOUa Evolved 2-port 10GE Optical interface Unit REV:a, ,-1,-1,0,210305429810FC000054,24,1,V100R023C10SPC500,-1,"CabinetNo=0,SubrackNo=0,SlotNo=24,SlotPos=1,SubSlotNo=-1,PortNo=-1", ,Huawei,Board,0, 
BSC6910UMTS,NE=354,STG03,138,225,EXOUa,WP11EXOUa, , ,2015-12-09,0,25,Hardware,00,03054298, ,(U4)003(U1012)003(U30)003(U31)004, ,PARC  WP11EXOUa Evolved 2-port 10GE Optical interface Unit REV:a, ,-1,-1,0,210305429810FC000055,25,1,V100R023C10SPC500,-1,"CabinetNo=0,SubrackNo=0,SlotNo=25,SlotPos=1,SubSlotNo=-1,PortNo=-1", ,Huawei,Board,0, 
BSC6910UMTS,NE=354,STG03, , ,PFCU,WP1E5PFNS, , ,2015-12-04,0,29,Hardware,00,02120662, , , ,"Fan Tray Assembly,PARCb,WP1E5PFNS,Base Station Controller 9 Fan Box", ,-1,-1,0,2102120662N0FC000046,29,0,2,-1,"CabinetNo=0,SubrackNo=0,SlotNo=29,SlotPos=0,SubSlotNo=-1,PortNo=-1", ,Huawei,FAN,0, 
BSC6910UMTS,NE=354,STG03, , ,PFCU,WP1E5PFNS, , ,2015-12-04,0,31,Hardware,00,02120662, , , ,"Fan Tray Assembly,PARCb,WP1E5PFNS,Base Station Controller 9 Fan Box", ,-1,-1,0,2102120662N0FC000053,31,0,2,-1,"CabinetNo=0,SubrackNo=0,SlotNo=31,SlotPos=0,SubSlotNo=-1,PortNo=-1", ,Huawei,FAN,0, 
BSC6910UMTS,NE=354,STG03, , ,MDMC,WP12PAMU, , ,2015-11-07,0,28,Hardware,00,03021JAH, , , ,"Manufactured Board,PARCb,WP12PAMU,Auto Power Monitor Unit", ,-1,-1,0,021JAH10FB000068,28,0,2,-1,"CabinetNo=0,SubrackNo=0,SlotNo=28,SlotPos=0,SubSlotNo=-1,PortNo=-1", ,Huawei,PMU,0, 
BSC6910UMTS,NE=354,STG03,138,225,EGPUa,WP11EGPUa, , ,2015-12-09,1,0,Hardware,00,03054296, ,(U4)003(U1012)003(U30)004(U31)003, ,PARC WP11EGPUa Evolved General Processing Unit REV:a, ,-1,-1,0,210305429610FC000165,0,0,V100R023C10SPC500,-1,"CabinetNo=0,SubrackNo=1,SlotNo=0,SlotPos=0,SubSlotNo=-1,PortNo=-1", ,Huawei,Board,0, 
BSC6910UMTS,NE=354,STG03,V100R015C00B340, ,ESAUa,WP11ESAUa, , ,2015-12-08,0,0,Hardware,00,03054295, ,6, ,PARC  WP11ESAUa Evolved Service Aware Unit REV:a, ,-1,-1,0,210305429510FC000017,0,0,SAU V100R021C10SPC810,-1,"CabinetNo=0,SubrackNo=0,SlotNo=0,SlotPos=0, SubSlotNo=-1,PortNo=-1", ,Huawei,Board,0, 
BSC6910UMTS,NE=354,STG03,138,225,EGPUa,WP11EGPUa, , ,2015-12-09,0,2,Hardware,00,03054296, ,(U4)003(U1012)003(U30)004(U31)003, ,PARC WP11EGPUa Evolved General Processing Unit REV:a, ,-1,-1,0,210305429610FC000167,2,0,V100R023C10SPC500,-1,"CabinetNo=0,SubrackNo=0,SlotNo=2,SlotPos=0,SubSlotNo=-1,PortNo=-1", ,Huawei,Board,0, 
BSC6910UMTS,NE=354,STG03,138,225,EGPUa,WP11EGPUa, , ,2015-12-09,0,3,Hardware,00,03054296, ,(U4)003(U1012)003(U30)004(U31)003, ,PARC WP11EGPUa Evolved General Processing Unit REV:a, ,-1,-1,0,210305429610FC000166,3,0,V100R023C10SPC500,-1,"CabinetNo=0,SubrackNo=0,SlotNo=3,SlotPos=0,SubSlotNo=-1,PortNo=-1", ,Huawei,Board,0, 
BSC6910UMTS,NE=354,STG03,137,209,EXOUb,WP11EXOUb, , ,2018-08-04,0,16,Hardware,00,03057017, ,(U18)003(U1012)003(U32)000(U31)002, ,PARC  WP11EXOUb Evolved 2-port 10GE Optical interface Unit REV:b, ,-1,-1,0,210305701710J8000007,16,1,V100R023C10SPC500,-1,"CabinetNo=0,SubrackNo=0,SlotNo=16,SlotPos=1,SubSlotNo=-1,PortNo=-1", ,Huawei,Board,0, 
